DIPID	UniProtKB AC
DIP-83N	P19447
DIP-708N	P32780
DIP-1077N	Q00403
DIP-5866N	P51681
DIP-5866N	P51681
DIP-5712N	P01138
DIP-5719N	P23560
DIP-29296N	P52294
DIP-31097N	P60953
DIP-29260N	P63000
DIP-268N	P42574
DIP-268N	P42574
DIP-27625N	P55211
DIP-268N	P42574
DIP-268N	P42574
DIP-268N	P42574
DIP-89N	P19338
DIP-34868N	Q9NYB0
DIP-34868N	Q9NYB0
DIP-33238N	P49959
DIP-17014N	P62877
DIP-17014N	P62877
DIP-17014N	P62877
DIP-405N	P00533
DIP-405N	P00533
DIP-33246N	P52298
DIP-34002N	Q15910
DIP-34002N	Q15910
DIP-29979N	P49407
DIP-182N	Q13315
DIP-33238N	P49959
DIP-29194N	Q9UKV8
DIP-29194N	Q9UKV8
DIP-29194N	Q9UKV8
DIP-122N	P35222
DIP-6080N	P62937
DIP-368N	P04637
DIP-27630N	Q13469
DIP-3788N	P21802
DIP-5937N	P10600
DIP-265N	P53618
DIP-1120N	P02649
DIP-5968N	Q13105
DIP-5968N	Q13105
DIP-34002N	Q15910
DIP-22N	P06730
DIP-29165N	P46109
DIP-435N	Q16594
DIP-122N	P35222
DIP-29948N	Q8TCY5
DIP-36773N	Q01196
DIP-125N	P10275
DIP-354N	P18848
DIP-29165N	P46109
DIP-1059N	P12931
DIP-1059N	P12931
DIP-8N	P04626
DIP-5971N	P38398
DIP-5978N	Q12888
DIP-430N	Q16531
DIP-430N	Q16531
DIP-430N	Q16531
DIP-430N	Q16531
DIP-29493N	P23381
DIP-5971N	P38398
DIP-29045N	Q8WTS6
DIP-29045N	Q8WTS6
DIP-1052N	P17275
DIP-29948N	Q8TCY5
DIP-29948N	Q8TCY5
DIP-24212N	Q15648
DIP-29016N	P50750
DIP-24212N	Q15648
DIP-29891N	O60563
DIP-5971N	P38398
DIP-31016N	Q13153
DIP-743N	P31946
DIP-33341N	P46527
DIP-33341N	P46527
DIP-586N	P63212
DIP-29459N	P81877
DIP-29803N	P07602
DIP-743N	P31946
DIP-462N	Q06609
DIP-946N	P35869
DIP-1059N	P12931
DIP-430N	Q16531
DIP-24212N	Q15648
DIP-946N	P35869
DIP-430N	Q16531
DIP-24188N	P12956
DIP-29327N	Q8WUM4
DIP-29696N	P53350
DIP-5960N	Q03135
DIP-125N	P10275
DIP-29516N	Q99683
DIP-29516N	Q99683
DIP-6129N	P10599
DIP-5740N	P15692
DIP-24202N	O15350
DIP-5999N	P49116
DIP-383N	P35609
DIP-29045N	Q8WTS6
DIP-5960N	Q03135
DIP-36441N	P21860
DIP-790N	P42345
DIP-5960N	Q03135
DIP-28153N	Q9Y230
DIP-29832N	P63146
DIP-574N	P05067
DIP-574N	P05067
DIP-31309N	Q16637
DIP-392N	Q00987
DIP-878N	P49841
DIP-392N	Q00987
DIP-29193N	Q9UL18
DIP-1045N	P15056
DIP-6117N	P48357
DIP-24269N	P31749
DIP-24171N	Q8N726
DIP-27527N	O14920
DIP-24253N	O15379
DIP-431N	P42768
DIP-232N	Q07812
DIP-2657N	P19525
DIP-29395N	P67775
DIP-24184N	Q13547
DIP-24184N	Q13547
DIP-29696N	P53350
DIP-24253N	O15379
DIP-29937N	Q9Y265
DIP-699N	P29353
DIP-29655N	Q12834
DIP-24203N	O60566
DIP-33604N	P16104
DIP-392N	Q00987
DIP-24199N	O15151
DIP-29194N	Q9UKV8
DIP-29664N	Q9UPY3
DIP-30916N	Q07817
DIP-24238N	Q04206
DIP-24238N	Q04206
DIP-29194N	Q9UKV8
DIP-31292N	Q9NPI6
DIP-29061N	P60605
DIP-392N	Q00987
DIP-1048N	P04049
DIP-24171N	Q8N726
DIP-24171N	Q8N726
DIP-28143N	P01106
DIP-24191N	P23025
DIP-22N	P06730
DIP-22N	P06730
DIP-24203N	O60566
DIP-29653N	Q13257
DIP-29642N	P61586
DIP-1051N	P08631
DIP-29165N	P46109
DIP-33875N	Q9HCN6
DIP-8N	P04626
DIP-1121N	P16070
DIP-139N	P25963
DIP-5720N	Q16620
DIP-29752N	Q9UNE7
DIP-368N	P04637
DIP-257N	Q09472
DIP-322N	Q03519
DIP-368N	P04637
DIP-6222N	Q13114
DIP-486N	P35968
DIP-6039N	O95750
DIP-29714N	Q14643
DIP-392N	Q00987
DIP-4012N	P09038
DIP-6222N	Q13114
DIP-29365N	P25789
DIP-27626N	P98170
DIP-34002N	Q15910
DIP-392N	Q00987
DIP-392N	Q00987
DIP-392N	Q00987
DIP-24260N	P49459
DIP-31309N	Q16637
DIP-122N	P35222
DIP-29547N	P02751
DIP-24220N	Q92769
DIP-31374N	P10398
DIP-125N	P10275
DIP-24186N	P78527
DIP-29843N	Q92841
DIP-28153N	Q9Y230
DIP-29755N	P60842
DIP-28153N	Q9Y230
DIP-24186N	P78527
DIP-24188N	P12956
DIP-38N	P09874
DIP-1045N	P15056
DIP-392N	Q00987
DIP-24169N	Q64364
DIP-2736N	P02786
DIP-96N	P29317
DIP-617N	P01730
DIP-29686N	P60709
DIP-122N	P35222
DIP-163N	P15884
DIP-29062N	P61077
DIP-33324N	Q9H9A7
DIP-392N	Q00987
DIP-125N	P10275
DIP-257N	Q09472
DIP-29402N	O75376
DIP-35444N	O95786
DIP-29402N	O75376
DIP-462N	Q06609
DIP-35257N	Q96B01
DIP-131N	P67870
DIP-29891N	O60563
DIP-29016N	P50750
DIP-413N	P08238
DIP-27595N	P07900
DIP-34N	P10276
DIP-29402N	O75376
DIP-29402N	O75376
DIP-29080N	P63165
DIP-29017N	Q9UBU8
DIP-3783N	Q16570
DIP-29255N	P55854
DIP-641N	P19793
DIP-368N	P04637
DIP-58N	P10809
DIP-29755N	P60842
DIP-5934N	P01137
DIP-6002N	Q05086
DIP-1045N	P15056
DIP-232N	Q07812
DIP-1048N	P04049
DIP-29755N	P60842
DIP-29229N	P62993
DIP-4019N	P11362
DIP-36742N	O43157
DIP-574N	P05067
DIP-582N	P06400
DIP-586N	P63212
DIP-29684N	Q5S007
DIP-29194N	Q9UKV8
DIP-29729N	Q12791
DIP-29327N	Q8WUM4
DIP-29884N	O75581
DIP-29884N	O75581
DIP-33238N	P49959
DIP-31016N	Q13153
DIP-5971N	P38398
DIP-28143N	P01106
DIP-1051N	P08631
DIP-5986N	P45973
DIP-5971N	P38398
DIP-5971N	P38398
DIP-27528N	Q9Y6K9
DIP-123N	P24385
DIP-123N	P24385
DIP-790N	P42345
DIP-368N	P04637
DIP-28142N	O75592
DIP-553N	P06239
DIP-100N	P19174
DIP-1045N	P15056
DIP-5986N	P45973
DIP-27524N	Q15750
DIP-34N	P10276
DIP-29884N	O75581
DIP-5998N	Q92993
DIP-5998N	Q92993
DIP-29611N	Q96AP0
DIP-29611N	Q96AP0
DIP-29628N	Q9Y468
DIP-29613N	Q7KZF4
DIP-5998N	Q92993
DIP-425N	Q08999
DIP-442N	P42227
DIP-6223N	Q12933
DIP-405N	P00533
DIP-405N	P00533
DIP-951N	Q9Y618
DIP-27595N	P07900
DIP-253N	P43405
DIP-27595N	P07900
DIP-29080N	P63165
DIP-29078N	P63279
DIP-29613N	Q7KZF4
DIP-29696N	P53350
DIP-35N	P06493
DIP-29696N	P53350
DIP-652N	P18846
DIP-29628N	Q9Y468
DIP-29628N	Q9Y468
DIP-2651N	P41182
DIP-34002N	Q15910
DIP-29628N	Q9Y468
DIP-29628N	Q9Y468
DIP-29628N	Q9Y468
DIP-29628N	Q9Y468
DIP-29628N	Q9Y468
DIP-1098N	P12004
DIP-29045N	Q8WTS6
DIP-3788N	P21802
DIP-3788N	P21802
DIP-33045N	Q86U86
DIP-29080N	P63165
DIP-29272N	Q9UQB8
DIP-29272N	Q9UQB8
DIP-2997N	P48023
DIP-5149N	P22455
DIP-3788N	P21802
DIP-304N	P05106
DIP-312N	P05556
DIP-24236N	O00255
DIP-312N	P05556
DIP-6223N	Q12933
DIP-430N	Q16531
DIP-122N	P35222
DIP-413N	P08238
DIP-29884N	O75581
DIP-29260N	P63000
DIP-4019N	P11362
DIP-29017N	Q9UBU8
DIP-2997N	P48023
DIP-1121N	P16070
DIP-312N	P05556
DIP-29688N	Q13415
DIP-29950N	Q53ET0
DIP-558N	P09619
DIP-6222N	Q13114
DIP-29894N	Q9Y676
DIP-29894N	Q9Y676
DIP-29894N	Q9Y676
DIP-33604N	P16104
DIP-286N	Q13158
DIP-29677N	P07823
DIP-29748N	Q9Y6D6
DIP-29748N	Q9Y6D6
DIP-29382N	Q9BXW9
DIP-29894N	Q9Y676
DIP-33604N	P16104
DIP-1030N	P08571
DIP-480N	P06213
DIP-480N	P06213
DIP-24269N	P31749
DIP-27618N	Q9ULZ3
DIP-24244N	Q99708
DIP-33300N	Q9NRR4
DIP-24238N	Q04206
DIP-708N	P32780
DIP-125N	P10275
DIP-6055N	P61769
DIP-5965N	P03372
DIP-5965N	P03372
DIP-5965N	P03372
DIP-5965N	P03372
DIP-368N	P04637
DIP-27527N	O14920
DIP-430N	Q16531
DIP-32589N	O43463
DIP-29194N	Q9UKV8
DIP-5986N	P45973
DIP-24184N	Q13547
DIP-480N	P06213
DIP-29053N	Q93009
DIP-24227N	Q01094
DIP-5736N	P16234
DIP-431N	P42768
DIP-431N	P42768
DIP-346N	P20783
DIP-331N	P36956
DIP-368N	P04637
DIP-38N	P09874
DIP-33300N	Q9NRR4
DIP-29924N	Q9H444
DIP-29508N	P01344
DIP-29508N	P01344
DIP-29884N	O75581
DIP-29714N	Q14643
DIP-29722N	Q16665
DIP-29722N	Q16665
DIP-125N	P10275
DIP-125N	P10275
DIP-29610N	Q9NUX5
DIP-33300N	Q9NRR4
DIP-33300N	Q9NRR4
DIP-29755N	P60842
DIP-125N	P10275
DIP-29201N	O60216
DIP-29382N	Q9BXW9
DIP-161N	P24941
DIP-29411N	O75533
DIP-29240N	P54198
DIP-29610N	Q9NUX5
DIP-24270N	O96017
DIP-189N	P22681
DIP-189N	P22681
DIP-31023N	P60896
DIP-29842N	Q8K3Y6
DIP-29266N	Q15843
DIP-5997N	Q15596
DIP-331N	P36956
DIP-29242N	Q9NVP2
DIP-31192N	Q6P2E9
DIP-29241N	Q9Y294
DIP-33218N	P38919
DIP-33218N	P38919
DIP-100N	P19174
DIP-1047N	P01100
DIP-24188N	P12956
DIP-29335N	Q92973
DIP-232N	Q07812
DIP-24269N	P31749
DIP-29372N	O75164
DIP-5720N	Q16620
DIP-29758N	Q9H1Y0
DIP-480N	P06213
DIP-6222N	Q13114
DIP-3014N	P25942
DIP-520N	P27037
DIP-28143N	P01106
DIP-212N	Q04771
DIP-5961N	P05412
DIP-33604N	P16104
DIP-3014N	P25942
DIP-3014N	P25942
DIP-1123N	P18827
DIP-29943N	P34741
DIP-29944N	O75056
DIP-29945N	P31431
DIP-34049N	Q9P289
DIP-433N	Q13546
DIP-29936N	Q96RL1
DIP-2154N	P26368
DIP-24203N	O60566
DIP-304N	P05106
DIP-6223N	Q12933
DIP-8N	P04626
DIP-5960N	Q03135
DIP-5960N	Q03135
DIP-5960N	Q03135
DIP-5960N	Q03135
DIP-351N	P27487
DIP-5998N	Q92993
DIP-38N	P09874
DIP-29845N	P26651
DIP-405N	P00533
DIP-24249N	P51532
DIP-8N	P04626
DIP-29650N	Q15303
DIP-5938N	P37023
DIP-22N	P06730
DIP-28135N	P83916
DIP-5986N	P45973
DIP-29372N	O75164
DIP-750N	P28715
DIP-24269N	P31749
DIP-878N	P49841
DIP-29725N	Q15046
DIP-29045N	Q8WTS6
DIP-29045N	Q8WTS6
DIP-5795N	P12644
DIP-5934N	P01137
DIP-6246N	P17813
DIP-5939N	P37173
DIP-29654N	Q9Y6D9
DIP-36N	P08047
DIP-33218N	P38919
DIP-24171N	Q8N726
DIP-28155N	Q99471
DIP-24249N	P51532
DIP-29216N	P46063
DIP-29216N	P46063
DIP-29216N	P46063
DIP-29216N	P46063
DIP-22N	P06730
DIP-29875N	Q92900
DIP-29875N	Q92900
DIP-6246N	P17813
DIP-29952N	P80188
DIP-29079N	P46060
DIP-35257N	Q96B01
DIP-28135N	P83916
DIP-28135N	P83916
DIP-27527N	O14920
DIP-397N	P51617
DIP-32589N	O43463
DIP-3772N	P29459
DIP-31711N	O75460
DIP-27528N	Q9Y6K9
DIP-29884N	O75581
DIP-368N	P04637
DIP-29760N	Q9GZQ8
DIP-5960N	Q03135
DIP-5960N	Q03135
DIP-232N	Q07812
DIP-29729N	Q12791
DIP-29306N	Q13526
DIP-125N	P10275
DIP-5978N	Q12888
DIP-29740N	O95999
DIP-33604N	P16104
DIP-33604N	P16104
DIP-33604N	P16104
DIP-182N	Q13315
DIP-33300N	Q9NRR4
DIP-368N	P04637
DIP-33603N	Q14676
DIP-33603N	Q14676
DIP-27528N	Q9Y6K9
DIP-1059N	P12931
DIP-24253N	O15379
DIP-31349N	Q99836
DIP-2657N	P19525
DIP-2657N	P19525
DIP-2657N	P19525
DIP-1045N	P15056
DIP-122N	P35222
DIP-2895N	P01375
DIP-31598N	Q99418
DIP-31598N	Q99418
DIP-2895N	P01375
DIP-27527N	O14920
DIP-122N	P35222
DIP-29843N	Q92841
DIP-407N	P19438
DIP-29260N	P63000
DIP-407N	P19438
DIP-638N	P20248
DIP-24184N	Q13547
DIP-27527N	O14920
DIP-5795N	P12644
DIP-29853N	Q12906
DIP-5960N	Q03135
DIP-29843N	Q92841
DIP-6204N	Q14974
DIP-29241N	Q9Y294
DIP-29241N	Q9Y294
DIP-1134N	P49768
DIP-29875N	Q92900
DIP-462N	Q06609
DIP-6024N	P01308
DIP-29076N	Q96QK1
DIP-6222N	Q13114
DIP-5971N	P38398
DIP-285N	Q15628
DIP-5732N	P19235
DIP-31097N	P60953
DIP-29642N	P61586
DIP-24269N	P31749
DIP-951N	Q9Y618
DIP-29053N	Q93009
DIP-29194N	Q9UKV8
DIP-29933N	P04156
DIP-29933N	P04156
DIP-331N	P36956
DIP-24214N	P51587
DIP-462N	Q06609
DIP-33603N	Q14676
DIP-37451N	Q8IYW5
DIP-33603N	Q14676
DIP-33603N	Q14676
DIP-3788N	P21802
DIP-4016N	P22607
DIP-24196N	P23804
DIP-1078N	P20226
DIP-297N	Q12962
DIP-29047N	Q15545
DIP-29047N	Q15545
DIP-29047N	Q15545
DIP-147N	P21675
DIP-2895N	P01375
DIP-2895N	P01375
DIP-24220N	Q92769
DIP-29402N	O75376
DIP-24184N	Q13547
DIP-29402N	O75376
DIP-33069N	P61326
DIP-29875N	Q92900
DIP-33218N	P38919
DIP-24244N	Q99708
DIP-29193N	Q9UL18
DIP-29664N	Q9UPY3
DIP-433N	Q13546
DIP-433N	Q13546
DIP-286N	Q13158
DIP-29760N	Q9GZQ8
DIP-28137N	Q61686
DIP-29255N	P55854
DIP-297N	Q12962
DIP-297N	Q12962
DIP-29047N	Q15545
DIP-495N	Q15544
DIP-29760N	Q9GZQ8
DIP-29760N	Q9GZQ8
DIP-29760N	Q9GZQ8
DIP-29194N	Q9UKV8
DIP-29933N	P04156
DIP-29933N	P04156
DIP-496N	Q16514
DIP-297N	Q12962
DIP-297N	Q12962
DIP-24189N	P27694
DIP-24265N	O75771
DIP-29381N	Q9NVI1
DIP-29488N	Q0JRZ9
DIP-5998N	Q92993
DIP-29857N	P35637
DIP-29857N	P35637
DIP-257N	Q09472
DIP-29884N	O75581
DIP-29884N	O75581
DIP-29884N	O75581
DIP-29884N	O75581
DIP-368N	P04637
DIP-29409N	Q96I25
DIP-5986N	P45973
DIP-5986N	P45973
DIP-36614N	Q5FBB7
DIP-36614N	Q5FBB7
DIP-29760N	Q9GZQ8
DIP-952N	Q92793
DIP-161N	P24941
DIP-246N	P38936
DIP-368N	P04637
DIP-430N	Q16531
DIP-29642N	P61586
DIP-36614N	Q5FBB7
DIP-29760N	Q9GZQ8
DIP-29760N	Q9GZQ8
DIP-33341N	P46527
DIP-169N	Q08945
DIP-17014N	P62877
DIP-3788N	P21802
DIP-641N	P19793
DIP-29365N	P25789
DIP-122N	P35222
DIP-29725N	Q15046
DIP-17014N	P62877
DIP-1050N	P01112
DIP-1050N	P01112
DIP-5978N	Q12888
DIP-246N	P38936
DIP-24269N	P31749
DIP-368N	P04637
DIP-17014N	P62877
DIP-257N	Q09472
DIP-139N	P25963
DIP-139N	P25963
DIP-5966N	Q92731
DIP-5965N	P03372
DIP-5966N	Q92731
DIP-257N	Q09472
DIP-31516N	O95835
DIP-36614N	Q5FBB7
DIP-29201N	O60216
DIP-36614N	Q5FBB7
DIP-3788N	P21802
DIP-935N	Q16611
DIP-368N	P04637
DIP-368N	P04637
DIP-368N	P04637
DIP-27527N	O14920
DIP-29740N	O95999
DIP-24269N	P31749
DIP-24269N	P31749
DIP-638N	P20248
DIP-29255N	P55854
DIP-35N	P06493
DIP-24230N	O00716
DIP-24185N	Q16254
DIP-24230N	O00716
DIP-24230N	O00716
DIP-35444N	O95786
DIP-29272N	Q9UQB8
DIP-29272N	Q9UQB8
DIP-27595N	P07900
DIP-125N	P10275
DIP-749N	P36873
DIP-29748N	Q9Y6D6
DIP-175N	P29466
DIP-476N	P08069
DIP-38N	P09874
DIP-430N	Q16531
DIP-189N	P22681
DIP-189N	P22681
DIP-31016N	Q13153
DIP-31016N	Q13153
DIP-31016N	Q13153
DIP-31016N	Q13153
DIP-31016N	Q13153
DIP-31016N	Q13153
DIP-29686N	P60709
DIP-5740N	P15692
DIP-5740N	P15692
DIP-29849N	Q96J02
DIP-29849N	Q96J02
DIP-29080N	P63165
DIP-33238N	P49959
DIP-125N	P10275
DIP-2196N	P06396
DIP-74N	P15923
DIP-29686N	P60709
DIP-29686N	P60709
DIP-36127N	Q9H4B6
DIP-875N	P11802
DIP-6129N	P10599
DIP-935N	Q16611
DIP-232N	Q07812
DIP-24238N	Q04206
DIP-29080N	P63165
DIP-1045N	P15056
DIP-29372N	O75164
DIP-29849N	Q96J02
DIP-5967N	P06401
DIP-392N	Q00987
DIP-32491N	Q13043
DIP-790N	P42345
DIP-29891N	O60563
DIP-29016N	P50750
DIP-24232N	P31350
DIP-405N	P00533
DIP-405N	P00533
DIP-24184N	Q13547
DIP-24184N	Q13547
DIP-5998N	Q92993
DIP-24269N	P31749
DIP-125N	P10275
DIP-125N	P10275
DIP-22N	P06730
DIP-477N	P12830
DIP-5998N	Q92993
DIP-24184N	Q13547
DIP-413N	P08238
DIP-1078N	P20226
DIP-6095N	Q08209
DIP-3016N	O43557
DIP-122N	P35222
DIP-639N	P16333
DIP-639N	P16333
DIP-29722N	Q16665
DIP-28146N	Q92830
DIP-875N	P11802
DIP-24214N	P51587
DIP-29260N	P63000
DIP-31516N	O95835
DIP-369N	P02340
DIP-122N	P35222
DIP-29919N	P46531
DIP-29003N	Q96IZ0
DIP-2657N	P19525
DIP-33878N	P17612
DIP-29047N	Q15545
DIP-433N	Q13546
DIP-173N	P31785
DIP-558N	P09619
DIP-477N	P12830
DIP-24270N	O96017
DIP-686N	Q00526
DIP-36441N	P21860
DIP-29979N	P49407
DIP-29664N	Q9UPY3
DIP-5991N	P10828
DIP-24253N	O15379
DIP-24202N	O15350
DIP-29871N	P15917
DIP-24269N	P31749
DIP-163N	P15884
DIP-29689N	Q13416
DIP-391N	P48061
DIP-2895N	P01375
DIP-29876N	P47992
DIP-391N	P48061
DIP-391N	P48061
DIP-35354N	P37840
DIP-28131N	P35354
DIP-5980N	Q14192
DIP-5980N	Q14192
DIP-36N	P08047
DIP-1059N	P12931
DIP-5792N	P12643
DIP-29569N	O14508
DIP-29569N	O14508
DIP-17014N	P62877
DIP-17014N	P62877
DIP-29692N	Q9Y5N6
DIP-5996N	P51946
DIP-175N	P29466
DIP-29696N	P53350
DIP-28143N	P01106
DIP-123N	P24385
DIP-24202N	O15350
DIP-743N	P31946
DIP-743N	P31946
DIP-29244N	P33176
DIP-6136N	P13726
DIP-951N	Q9Y618
DIP-122N	P35222
DIP-106N	P19838
DIP-35527N	Q9NWT6
DIP-35527N	Q9NWT6
DIP-35527N	Q9NWT6
DIP-35527N	Q9NWT6
DIP-35527N	Q9NWT6
DIP-35527N	Q9NWT6
DIP-35527N	Q9NWT6
DIP-1080N	P01589
DIP-5965N	P03372
DIP-952N	Q92793
DIP-24253N	O15379
DIP-29611N	Q96AP0
DIP-34868N	Q9NYB0
DIP-29849N	Q96J02
DIP-24253N	O15379
DIP-24227N	Q01094
DIP-24227N	Q01094
DIP-1059N	P12931
DIP-29829N	P61088
DIP-1120N	P02649
DIP-24188N	P12956
DIP-24212N	Q15648
DIP-554N	P31323
DIP-29815N	P46934
DIP-29452N	Q99961
DIP-257N	Q09472
DIP-147N	P21675
DIP-29832N	P63146
DIP-554N	P31323
DIP-318N	P19784
DIP-480N	P06213
DIP-32597N	P46940
DIP-29541N	Q07813
DIP-29541N	Q07813
DIP-5978N	Q12888
DIP-5978N	Q12888
DIP-5978N	Q12888
DIP-878N	P49841
DIP-430N	Q16531
DIP-29452N	Q99961
DIP-29452N	Q99961
DIP-29452N	Q99961
DIP-29452N	Q99961
DIP-424N	P05787
DIP-29452N	Q99961
DIP-29653N	Q13257
DIP-29016N	P50750
DIP-462N	Q06609
DIP-38N	P09874
DIP-29062N	P61077
DIP-24244N	Q99708
DIP-28152N	Q15393
DIP-625N	P09661
DIP-31516N	O95835
DIP-5712N	P01138
DIP-5838N	P13500
DIP-5837N	P10147
DIP-5847N	P80098
DIP-29876N	P47992
DIP-31N	P13501
DIP-31292N	Q9NPI6
DIP-31289N	Q8IZD4
DIP-1136N	P21333
DIP-1136N	P21333
DIP-29919N	P46531
DIP-29327N	Q8WUM4
DIP-29327N	Q8WUM4
DIP-31802N	Q07889
DIP-5986N	P45973
DIP-5986N	P45973
DIP-27569N	P22087
DIP-27569N	P22087
DIP-24244N	Q99708
DIP-24244N	Q99708
DIP-5792N	P12643
DIP-582N	P06400
DIP-24196N	P23804
DIP-6223N	Q12933
DIP-368N	P04637
DIP-37451N	Q8IYW5
DIP-37451N	Q8IYW5
DIP-37451N	Q8IYW5
DIP-6223N	Q12933
DIP-35444N	O95786
DIP-29306N	Q13526
DIP-318N	P19784
DIP-2895N	P01375
DIP-2895N	P01375
DIP-2895N	P01375
DIP-2895N	P01375
DIP-699N	P29353
DIP-405N	P00533
DIP-182N	Q13315
DIP-232N	Q07812
DIP-31711N	O75460
DIP-31711N	O75460
DIP-29760N	Q9GZQ8
DIP-30916N	Q07817
DIP-29194N	Q9UKV8
DIP-31089N	Q9H211
DIP-24269N	P31749
DIP-24214N	P51587
DIP-468N	P39429
DIP-2895N	P01375
DIP-2895N	P01375
DIP-30916N	Q07817
DIP-30916N	Q07817
DIP-231N	Q07820
DIP-24239N	Q00653
DIP-24239N	Q00653
DIP-29194N	Q9UKV8
DIP-31089N	Q9H211
DIP-29692N	Q9Y5N6
DIP-477N	P12830
DIP-29891N	O60563
DIP-29016N	P50750
DIP-35626N	Q03518
DIP-36727N	Q9ULW0
DIP-32490N	Q8WWW0
DIP-33556N	P25054
DIP-37515N	Q9HB90
DIP-29710N	P62942
DIP-31366N	P78344
DIP-37652N	P08559
DIP-37668N	Q14242
DIP-5715N	P07174
DIP-37862N	O95760
DIP-37949N	O43278
DIP-37957N	Q13426
DIP-37959N	Q9H9Q4
DIP-31606N	P63208
DIP-37535N	P14210
DIP-29665N	Q15633
DIP-37821N	Q60610
DIP-38051N	O15055
DIP-27628N	Q9UER7
DIP-32595N	P49336
DIP-36670N	Q92466
DIP-34443N	Q13501
DIP-34530N	Q96GD4
DIP-38220N	Q15019
DIP-38248N	Q969G9
DIP-35019N	P60484
DIP-5765N	P01135
DIP-38873N	Q7L576
DIP-33485N	Q13490
DIP-39028N	Q8WXF1
DIP-29200N	Q9UQE7
DIP-34641N	O60341
DIP-34662N	O15392
DIP-31304N	Q9NQS7
DIP-24367N	Q9XX00
DIP-39418N	P05198
DIP-38014N	P18031
DIP-35477N	Q9NZU7
DIP-29589N	Q13936
DIP-647N	P26039
DIP-31734N	P30281
DIP-38407N	Q9C000
DIP-40269N	O00408
DIP-33849N	P07947
DIP-34269N	O00506
DIP-40640N	P17542
DIP-29011N	P24928
DIP-40644N	P63272
DIP-27525N	Q9NYJ8
DIP-34448N	Q15475
DIP-40607N	Q9BUL8
DIP-38481N	Q15139
DIP-40814N	Q9NR80
DIP-29974N	Q08881
DIP-40924N	Q60841
DIP-29808N	P70444
DIP-36653N	Q9UQC2
DIP-17013N	Q13616
DIP-41153N	Q96P20
DIP-30919N	P78352
DIP-41219N	Q9P021
DIP-31172N	Q9Y262
DIP-41343N	O89100
DIP-36051N	Q51451
DIP-41331N	Q8WXD5
DIP-31812N	Q13094
DIP-39319N	P32871
DIP-35017N	P02511
DIP-41265N	P02489
DIP-31809N	Q99816
DIP-41554N	Q8WUW1
DIP-41473N	Q9Y6N9
DIP-31803N	Q96B97
DIP-31119N	Q9Y2A7
DIP-41491N	Q9NQS3
DIP-40302N	Q15223
DIP-199N	P46108
DIP-41787N	Q9BX63
DIP-37971N	Q969U6
DIP-41809N	O75569
DIP-32605N	O14893
DIP-41817N	Q9Y6W5
DIP-34970N	P26010
DIP-31317N	Q15831
DIP-426N	Q13625
DIP-41972N	Q9UIF7
DIP-41247N	O43502
DIP-42405N	Q12756
DIP-33172N	O14744
DIP-42605N	Q14449
DIP-38394N	Q9UBS5
DIP-40768N	O60880
DIP-33876N	P06241
DIP-40794N	Q14155
DIP-40331N	Q9BZW8
DIP-30915N	Q14790
DIP-39944N	P54727
DIP-32548N	Q60974
DIP-38018N	Q15691
DIP-27515N	Q9Y4K3
DIP-31270N	Q9NS23
DIP-31148N	Q9HAU5
DIP-31365N	Q14203
DIP-35422N	O95347
DIP-31315N	Q8TEW0
DIP-39136N	Q8IW19
DIP-31115N	O75821
DIP-43776N	Q13351
DIP-43981N	Q96PM5
DIP-1083N	P02766
DIP-39882N	P32119
DIP-33000N	P23528
DIP-40711N	Q02078
DIP-44565N	O95931
DIP-44566N	Q9HC52
DIP-36698N	O14503
DIP-44611N	Q14457
DIP-59N	P14635
DIP-42204N	O15117
DIP-31379N	P13010
DIP-1053N	P17535
DIP-31612N	Q13617
DIP-40034N	Q99496
DIP-31811N	O00459
DIP-42607N	Q9BYX4
DIP-40297N	O75175
DIP-42656N	Q9NZN8
DIP-39776N	O60885
DIP-44574N	P03120
DIP-34565N	P56524
DIP-31609N	Q13620
DIP-33288N	O15234
DIP-36658N	P05362
DIP-29223N	P61964
DIP-38023N	Q9UKT4
DIP-40646N	O14746
DIP-38571N	Q9Y6Y9
DIP-39375N	Q9Y2G4
DIP-45850N	Q01813
DIP-29268N	Q99942
DIP-31375N	Q12967
DIP-31351N	Q9NWZ3
DIP-27550N	Q12824
DIP-33323N	Q13472
DIP-31451N	Q9NVC6
DIP-32488N	Q96FA3
DIP-33062N	O95630
DIP-6230N	P50591
DIP-29221N	Q03164
DIP-34052N	Q15554
DIP-31135N	Q13111
DIP-35263N	Q9UKL0
DIP-35418N	Q8N3U4
DIP-30911N	Q14683
DIP-35421N	Q8WVM7
DIP-35419N	Q29RF7
DIP-31176N	Q7Z5K2
DIP-29222N	Q9UBL3
DIP-31456N	O75586
DIP-32908N	Q96RN5
DIP-119N	P27986
DIP-29571N	Q15369
DIP-31457N	Q9BTT4
DIP-31449N	Q9H944
DIP-31464N	O95402
DIP-35680N	Q86XK2
DIP-32788N	P13569
DIP-32957N	Q9UJX6
DIP-36423N	Q13042
DIP-36477N	Q6NUQ1
DIP-36478N	Q9H900
DIP-36471N	O43264
DIP-46027N	P49791
DIP-39138N	P54284
DIP-32585N	P40337
DIP-29570N	Q15370
DIP-32857N	Q99814
DIP-33949N	P59768
DIP-46035N	Q9GZX6
DIP-31134N	Q9Y613
DIP-436N	Q16576
DIP-37429N	P62799
DIP-427N	P36896
